,district,count_outgoing,distance_outgoing,duration_outgoing,count_within,distance_within,duration_within,count_incoming,distance_incoming,duration_incoming,count_outgoing_night,distance_outgoing_night,duration_outgoing_night,count_within_night,distance_within_night,duration_within_night,count_incoming_night,distance_incoming_night,duration_incoming_night,count_outgoing_morning,distance_outgoing_morning,duration_outgoing_morning,count_within_morning,distance_within_morning,duration_within_morning,count_incoming_morning,distance_incoming_morning,duration_incoming_morning,count_outgoing_day,distance_outgoing_day,duration_outgoing_day,count_within_day,distance_within_day,duration_within_day,count_incoming_day,distance_incoming_day,duration_incoming_day,count_outgoing_evening,distance_outgoing_evening,duration_outgoing_evening,count_within_evening,distance_within_evening,duration_within_evening,count_incoming_evening,distance_incoming_evening,duration_incoming_evening,count_outgoing_sun,distance_outgoing_sun,duration_outgoing_sun,count_within_sun,distance_within_sun,duration_within_sun,count_incoming_sun,distance_incoming_sun,duration_incoming_sun,count_outgoing_mon,distance_outgoing_mon,duration_outgoing_mon,count_within_mon,distance_within_mon,duration_within_mon,count_incoming_mon,distance_incoming_mon,duration_incoming_mon,count_outgoing_tue,distance_outgoing_tue,duration_outgoing_tue,count_within_tue,distance_within_tue,duration_within_tue,count_incoming_tue,distance_incoming_tue,duration_incoming_tue,count_outgoing_wed,distance_outgoing_wed,duration_outgoing_wed,count_within_wed,distance_within_wed,duration_within_wed,count_incoming_wed,distance_incoming_wed,duration_incoming_wed,count_outgoing_thu,distance_outgoing_thu,duration_outgoing_thu,count_within_thu,distance_within_thu,duration_within_thu,count_incoming_thu,distance_incoming_thu,duration_incoming_thu,count_outgoing_fri,distance_outgoing_fri,duration_outgoing_fri,count_within_fri,distance_within_fri,duration_within_fri,count_incoming_fri,distance_incoming_fri,duration_incoming_fri,count_outgoing_sat,distance_outgoing_sat,duration_outgoing_sat,count_within_sat,distance_within_sat,duration_within_sat,count_incoming_sat,distance_incoming_sat,duration_incoming_sat
10,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,301,219254.0,550443624.0,156969183.0,77862.0,85167722.0,22827023.0,223683.0,557837991.0,153514832.0,14213.0,39611297.0,11368229.0,3769.0,4006871.0,1087927.0,9708.0,23310381.0,6542091.0,54123.0,133163340.0,38156137.0,15747.0,17168933.0,4561504.0,49271.0,129585557.0,35109974.0,89287.0,219968050.0,62520000.0,32326.0,35348697.0,9462411.0,95647.0,237709710.0,65437095.0,61631.0,157700937.0,44924817.0,26020.0,28643221.0,7715181.0,69057.0,167232343.0,46425672.0,24261.0,63186017.0,17992408.0,9118.0,10254069.0,2742843.0,23525.0,59795814.0,16410951.0,32104.0,80945523.0,23110221.0,10785.0,11859226.0,3180484.0,32597.0,81252526.0,22379052.0,34759.0,87095597.0,24882794.0,11914.0,13046861.0,3498476.0,35557.0,88297470.0,24311641.0,36320.0,91181180.0,25994809.0,12159.0,13271303.0,3558992.0,36881.0,92030777.0,25358788.0,34653.0,86521860.0,24724507.0,11898.0,12846196.0,3446724.0,35154.0,87425780.0,24083183.0,29662.0,72671047.0,20726867.0,11246.0,12019795.0,3226561.0,31367.0,76989149.0,21190096.0,27495.0,68842400.0,19537577.0,10742.0,11870272.0,3172943.0,28602.0,72046475.0,19781121.0
12,302,109825.0,249473297.0,68180681.0,18140.0,13515036.0,4047807.0,101905.0,233016619.0,71028917.0,7701.0,18624541.0,5041211.0,1253.0,902362.0,273307.0,5770.0,12787784.0,3929191.0,22380.0,50774428.0,13936694.0,2637.0,2055713.0,612409.0,16884.0,36799795.0,11078791.0,41301.0,94350658.0,25766084.0,6608.0,4931669.0,1474771.0,42193.0,98320482.0,29990515.0,38443.0,85723670.0,23436692.0,7642.0,5625292.0,1687320.0,37058.0,85108558.0,26030420.0,13065.0,30588665.0,8347553.0,2123.0,1591271.0,480658.0,12336.0,28807850.0,8800697.0,15537.0,35154156.0,9614941.0,2607.0,1919319.0,571009.0,14435.0,33029182.0,10040590.0,17092.0,38838406.0,10634103.0,2689.0,1998032.0,596326.0,15674.0,35978355.0,10938281.0,17322.0,39231116.0,10723952.0,2786.0,2062217.0,615480.0,16017.0,36717651.0,11178772.0,17013.0,38230889.0,10457572.0,2779.0,2101017.0,628366.0,15668.0,35416879.0,10787996.0,15484.0,34544771.0,9433841.0,2618.0,1918487.0,572560.0,14095.0,31538745.0,9616712.0,14312.0,32885294.0,8968719.0,2538.0,1924693.0,583408.0,13680.0,31527957.0,9665869.0
13,303,141619.0,339371410.0,93527571.0,31039.0,27211589.0,7768346.0,130108.0,308911137.0,91644258.0,7123.0,17918461.0,4939421.0,2070.0,1788947.0,515034.0,6284.0,14363800.0,4290965.0,41251.0,100795231.0,27941156.0,8468.0,7806656.0,2176144.0,33843.0,82304091.0,24195504.0,56677.0,135906838.0,37310002.0,10710.0,9387648.0,2698286.0,48511.0,117074432.0,34773813.0,36568.0,84750880.0,23336992.0,9791.0,8228338.0,2378882.0,41470.0,95168814.0,28383976.0,14214.0,33796841.0,9304842.0,3488.0,2927743.0,843364.0,13591.0,31761065.0,9456377.0,22026.0,53496402.0,14763833.0,4813.0,4252712.0,1212650.0,20413.0,49054072.0,14531798.0,23438.0,56541482.0,15580898.0,5005.0,4454648.0,1266185.0,21807.0,52481855.0,15539338.0,23737.0,57453697.0,15821803.0,4990.0,4436894.0,1261045.0,22024.0,52607661.0,15579323.0,23251.0,55845049.0,15425528.0,4861.0,4396396.0,1249905.0,21248.0,50796312.0,15059309.0,20221.0,47436913.0,13082908.0,4666.0,4058707.0,1161169.0,17717.0,41211242.0,12236561.0,14732.0,34801026.0,9547759.0,3216.0,2684489.0,774028.0,13308.0,30998930.0,9241552.0
14,304,85778.0,228606065.0,63224953.0,15783.0,12772239.0,4550186.0,72669.0,190749097.0,58346659.0,2168.0,5733667.0,1590777.0,649.0,530224.0,193411.0,3187.0,8766155.0,2678030.0,26697.0,66967883.0,18567198.0,4856.0,4219012.0,1482382.0,25604.0,67608896.0,20777030.0,37491.0,104490721.0,28783460.0,6140.0,4988238.0,1787107.0,27716.0,72605083.0,22181924.0,19422.0,51413794.0,14283518.0,4138.0,3034765.0,1087286.0,16162.0,41768963.0,12709675.0,6935.0,18424388.0,5113438.0,1566.0,1188117.0,421598.0,5902.0,15689924.0,4778304.0,14141.0,37839149.0,10457016.0,2343.0,1951268.0,695741.0,11829.0,31267108.0,9571055.0,15099.0,40586463.0,11201289.0,2603.0,2128241.0,757341.0,12662.0,33488138.0,10241647.0,15207.0,40586931.0,11221931.0,2685.0,2203872.0,786219.0,12794.0,33503508.0,10251883.0,14790.0,38977212.0,10791731.0,2635.0,2180582.0,773774.0,12551.0,32587883.0,9981926.0,12378.0,32664824.0,9039574.0,2431.0,1929609.0,688084.0,10531.0,27275348.0,8354797.0,7228.0,19527098.0,5399974.0,1520.0,1190550.0,427429.0,6400.0,16937188.0,5167047.0
15,305,89002.0,281928281.0,78636357.0,47763.0,56191258.0,16211894.0,93584.0,289950711.0,80436782.0,3221.0,10193519.0,2907729.0,2082.0,2459518.0,697283.0,5337.0,16207630.0,4480864.0,26927.0,90215220.0,24948710.0,8544.0,10828976.0,3134528.0,17087.0,51327438.0,14481597.0,35333.0,110530729.0,30843916.0,20291.0,23674655.0,6833090.0,40590.0,128273266.0,35473264.0,23521.0,70988813.0,19936002.0,16846.0,19228109.0,5546993.0,30570.0,94142377.0,26001057.0,9525.0,29792545.0,8317470.0,5873.0,6691954.0,1933110.0,10458.0,32140385.0,8871734.0,13490.0,43048957.0,12025426.0,7088.0,8372578.0,2416746.0,14397.0,44970623.0,12483721.0,14409.0,45899576.0,12813117.0,7213.0,8643420.0,2487200.0,15423.0,48441545.0,13467234.0,14731.0,47096259.0,13137328.0,7631.0,9078185.0,2625279.0,15807.0,49375311.0,13712577.0,14166.0,44974482.0,12544051.0,7168.0,8527857.0,2464247.0,14714.0,45595192.0,12678007.0,12148.0,38113307.0,10641422.0,6389.0,7546881.0,2175215.0,12415.0,37526897.0,10427792.0,10533.0,33003155.0,9157543.0,6401.0,7330383.0,2110097.0,10370.0,31900758.0,8795717.0
16,401,5576.0,20007582.0,5572959.0,799.0,301493.0,92263.0,5557.0,20383310.0,5988294.0,247.0,760873.0,212093.0,43.0,19303.0,5625.0,350.0,1200566.0,352493.0,1344.0,5562469.0,1551205.0,124.0,49465.0,15907.0,696.0,2302311.0,682138.0,2268.0,8081433.0,2246312.0,318.0,119747.0,36965.0,2468.0,9427917.0,2764468.0,1717.0,5602807.0,1563349.0,314.0,112978.0,33766.0,2043.0,7452516.0,2189195.0,772.0,2668089.0,744430.0,101.0,37083.0,11449.0,769.0,2711247.0,797454.0,869.0,3146096.0,874484.0,124.0,45805.0,14235.0,884.0,3275886.0,958799.0,836.0,3009300.0,838797.0,97.0,36187.0,10777.0,855.0,3272580.0,961592.0,853.0,3081313.0,856169.0,139.0,47664.0,14288.0,865.0,3262268.0,957074.0,840.0,3015534.0,839985.0,124.0,53080.0,16204.0,785.0,2916926.0,856388.0,710.0,2599003.0,723442.0,110.0,41491.0,12609.0,693.0,2515309.0,739983.0,696.0,2488247.0,695652.0,104.0,40183.0,12701.0,706.0,2429094.0,717004.0
17,402,1748.0,6808547.0,1856680.0,110.0,0.0,0.0,2051.0,7746226.0,2203034.0,90.0,320499.0,87248.0,5.0,0.0,0.0,199.0,761308.0,214756.0,320.0,1280639.0,348373.0,8.0,0.0,0.0,249.0,875608.0,244731.0,706.0,2711121.0,740558.0,47.0,0.0,0.0,933.0,3684353.0,1048664.0,632.0,2496288.0,680501.0,50.0,0.0,0.0,670.0,2424957.0,694883.0,293.0,1135370.0,309245.0,21.0,0.0,0.0,321.0,1238311.0,352562.0,250.0,985548.0,270392.0,11.0,0.0,0.0,296.0,1077142.0,306400.0,241.0,965074.0,263186.0,16.0,0.0,0.0,287.0,1108589.0,317446.0,243.0,930228.0,253447.0,13.0,0.0,0.0,319.0,1202099.0,341429.0,226.0,858815.0,234534.0,14.0,0.0,0.0,290.0,1069932.0,304354.0,243.0,925858.0,252393.0,15.0,0.0,0.0,257.0,975856.0,276427.0,252.0,1007654.0,273483.0,20.0,0.0,0.0,281.0,1074297.0,304416.0
18,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,404,15188.0,53917512.0,14828984.0,11637.0,11439111.0,3645911.0,14886.0,51697117.0,14990871.0,577.0,2013797.0,557847.0,650.0,649020.0,207382.0,799.0,2824169.0,820503.0,4204.0,16302673.0,4460985.0,2082.0,2059690.0,650269.0,2220.0,6505102.0,1875093.0,5877.0,20335468.0,5611955.0,4680.0,4610732.0,1465106.0,6721.0,24376201.0,7052347.0,4530.0,15265574.0,4198197.0,4225.0,4119669.0,1323154.0,5146.0,17991645.0,5242928.0,1869.0,6614531.0,1820195.0,1450.0,1407587.0,454022.0,1892.0,6453860.0,1885829.0,2346.0,8397575.0,2312473.0,1721.0,1688770.0,543178.0,2289.0,8153926.0,2365962.0,2388.0,8676590.0,2384670.0,1721.0,1732719.0,552260.0,2295.0,8241959.0,2377903.0,2482.0,8691975.0,2393281.0,1804.0,1758373.0,559331.0,2394.0,8442865.0,2442555.0,2279.0,8097104.0,2220560.0,1892.0,1888641.0,597132.0,2272.0,7603158.0,2202485.0,2010.0,7039207.0,1934042.0,1610.0,1598092.0,504404.0,1954.0,6701633.0,1939299.0,1814.0,6400530.0,1763763.0,1439.0,1364929.0,435584.0,1790.0,6099716.0,1776838.0
20,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,501,16422.0,70733319.0,19596237.0,13606.0,18808345.0,5301333.0,19224.0,80917782.0,22090772.0,677.0,3365674.0,948100.0,596.0,869121.0,242459.0,900.0,4084365.0,1109522.0,4406.0,19589866.0,5382927.0,2140.0,2915910.0,816913.0,3114.0,13379153.0,3648322.0,6929.0,29991886.0,8277842.0,5530.0,7823840.0,2206398.0,8733.0,36326873.0,9932342.0,4410.0,17785893.0,4987368.0,5340.0,7199474.0,2035563.0,6477.0,27127391.0,7400586.0,2064.0,8571001.0,2375156.0,2022.0,2851197.0,802855.0,2314.0,9624269.0,2629481.0,2417.0,10444860.0,2904677.0,1997.0,2786510.0,788750.0,3122.0,13355702.0,3648613.0,2623.0,11438072.0,3173233.0,1967.0,2728661.0,768350.0,3173.0,13565622.0,3698158.0,2678.0,11780848.0,3255429.0,1952.0,2618903.0,739991.0,3233.0,13530527.0,3688689.0,2413.0,10302110.0,2866710.0,1931.0,2632922.0,739838.0,2924.0,12320414.0,3363892.0,2118.0,9258943.0,2557258.0,1744.0,2382473.0,670580.0,2434.0,10165912.0,2778620.0,2109.0,8937485.0,2463774.0,1993.0,2807679.0,790969.0,2024.0,8355336.0,2283319.0
22,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
