,id,total_pop,ages_0-6,ages_7-15,ages_16-18,ages_19-24,ages_25-39,ages_40-64,ages_0-65-,avg_pers_income,median_fam_income,homes,business_bldgs,public_bldgs,industrial_bldgs,daycares,schools,special_schools,libraries,health_stations,playgrounds,swimming_halls,sports_halls,sports_fields,churches,grocery_shops,restaurants,cafes_bars,unemployment,manufacture_jobs,retail_jobs,transport_jobs,business_jobs,public_jobs
17,402,6987.0,7.74,12.12,4.14,4.9663661084871915,13.553742664949192,35.71,21.77,49320.385328981276,82960.0,3128.0,18.047,30.778000000000002,0.836,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,5.0,0.0,4.304245283018868,11.3,17.4,6.0,16.3,48.8
18,403,8668.0,9.11,13.82,4.12,4.464697738809414,14.420858329487775,36.31,17.75,47027.931851418536,82632.0,3525.0,6.34,29.932,1.6909999999999998,7.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,10.0,0.0,5.0,3.0,0.0,4.496487119437939,7.9,14.9,9.1,13.3,54.7
19,404,14522.0,7.8,9.59,2.58,6.163062938989119,24.397465913785982,30.37,19.1,35017.403207608,43626.0,7935.0,121.17399999999999,78.075,38.095,9.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,8.0,2.0,6.0,14.0,0.0,7.703604806408544,37.1,13.5,3.5,12.4,33.3
20,405,3671.0,8.2,13.38,4.9,4.358485426314355,14.76436938163988,37.05,17.35,43479.161814488834,77701.0,1594.0,7.053,20.88,26.39,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,3.0,5.0,0.0,5.837424986361157,33.0,10.4,5.4,12.8,38.1
21,501,25092.0,9.13,9.93,2.45,8.086242627132153,27.387215048621073,28.91,14.1,28639.37775389576,37629.0,13609.0,66.684,238.769,108.821,18.0,2.0,0.0,1.0,1.0,3.0,0.0,13.0,11.0,2.0,12.0,22.0,3.0,9.556574923547403,9.5,13.2,2.9,19.9,54.3
22,502,8573.0,8.33,7.06,2.48,7.756911232940627,25.836929896185698,28.11,20.42,27007.315181058497,35229.0,4921.0,29.621,21.339000000000002,15.797,5.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,11.0,0.0,6.0,5.0,0.0,11.357003891050587,16.9,19.3,9.9,29.1,24.7
23,503,29078.0,7.8,9.73,3.18,6.87461310956737,21.42513240250361,33.52,17.46,31302.414838337183,41255.0,15406.0,192.085,160.507,277.808,18.0,0.0,1.0,2.0,1.0,5.0,1.0,27.0,28.0,3.0,27.0,48.0,3.0,9.798040391921617,14.6,19.3,3.7,20.6,41.4
24,504,11509.0,8.27,10.85,3.59,6.994526023112347,19.966982361630027,32.06,18.26,31140.507502679528,47850.0,5399.0,21.259,34.397,137.189,6.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,16.0,0.0,6.0,2.0,0.0,7.858546168958743,25.9,26.3,5.8,16.3,25.7
25,505,20384.0,8.83,11.63,3.51,6.142072213500785,20.74666405023548,33.69,15.45,34366.284808583274,50655.0,9601.0,50.261,56.993,180.636,9.0,1.0,0.0,2.0,1.0,2.0,0.0,8.0,20.0,1.0,7.0,14.0,1.0,8.76539673446004,36.5,20.7,14.8,8.9,19.1
26,506,5737.0,8.59,9.15,3.05,9.430015687641623,23.008541049328922,29.41,17.36,21355.58943781942,28457.0,3092.0,8.756,21.393,4.78,3.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,7.0,1.0,5.0,8.0,0.0,16.86478454680535,6.1,20.2,9.5,9.6,54.4
27,601,4007.0,7.06,10.56,2.85,6.763164462191164,22.261043174444726,31.1,19.42,57082.990637269715,54465.0,2180.0,28.342,28.39,1.455,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,6.0,1.0,7.0054267390231875,1.2,14.1,2.6,45.9,36.2
28,602,28875.0,7.7,8.28,2.45,6.147186147186147,26.337662337662334,32.45,16.63,33683.97972304649,37613.0,16729.0,160.378,123.866,375.00699999999995,12.0,1.0,1.0,2.0,0.0,4.0,0.0,16.0,21.0,4.0,18.0,46.0,4.0,10.915651781686964,22.2,28.2,3.2,21.5,24.9
29,603,19968.0,8.18,10.05,3.1,6.390224358974358,20.087139423076927,32.63,19.56,39023.30101321021,45884.0,10576.0,36.306,65.777,18.083,9.0,0.0,0.0,1.0,1.0,4.0,0.0,6.0,17.0,1.0,7.0,7.0,4.0,8.689610944848225,5.9,11.4,3.6,15.1,63.8
30,701,22071.0,7.04,9.26,3.23,6.7418784830773415,20.239227946173717,33.47,20.02,31423.580535152152,37045.0,12089.0,291.91900000000004,105.307,178.825,13.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,10.0,3.0,28.0,68.0,8.0,12.487411883182276,10.5,34.0,12.2,17.7,25.6
31,702,12567.0,9.11,9.25,3.3,6.190817219702394,21.047187077265857,32.25,18.84,28421.022551928785,37945.0,6432.0,12.604000000000001,151.115,12.575,8.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,13.0,2.0,9.0,7.0,1.0,10.945529290853033,4.8,12.5,4.2,4.9,73.6
32,703,39071.0,7.95,9.58,3.57,7.151083924138107,21.112845844744182,32.08,18.56,24112.82083768989,32473.0,20652.0,42.293,129.287,73.757,23.0,1.0,1.0,1.0,2.0,6.0,1.0,15.0,23.0,1.0,32.0,46.0,8.0,15.11290939909235,13.4,21.6,8.2,8.7,47.9
33,704,38962.0,7.83,10.1,3.1,6.57050459422001,20.4686617730096,33.41,18.52,28792.089737589315,36911.0,20889.0,89.361,140.55,248.601,25.0,1.0,0.0,1.0,1.0,4.0,1.0,20.0,17.0,5.0,23.0,47.0,5.0,13.079048023799405,20.4,13.1,25.6,7.4,33.4
34,801,1944.0,5.61,14.35,6.84,7.304526748971193,9.722222222222225,44.8,11.37,60365.666871165646,98038.0,733.0,4.129,13.085999999999999,5.084,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,6.0,1.0,4.0,1.0,1.0,5.7223264540337695,14.9,17.5,7.1,16.0,44.1
