District,Postal Code,Asukkaita/km2,Asukkaat yht,0-6-vuotiaat %,7-15-vuotiaat %,16-18-vuotiaat %,19-24-vuotiaat %,25-39-vuotiaat %,40-64-vuotiaat %,Yli 65-vuotiaat %,Tulot/asukas,Asuntokuntien mediaanitulot,Asuntoja yhteensä,Liikerakennukset,Julkiset rakennukset,Teollisuus- ja varastorakennukset,Päiväkoteja,Lukio koulut,Erikois- ja erityiskoulut,Kirjasto,Terveysasema,Leikkipuisto,Uimahalli,Liikuntasalit ja -hallit,Pallokentät,Kirkko,Päivittäistavarakaupat,Ravintolat ,Kahvilat ja baarit,Työttömyysaste
  Malmin peruspiiri         ,503,2650.683682771194,29078,7.8,9.73,3.18,6.87461310956737,21.42513240250361,33.52,17.46,31302.414838337183,41255,15406,192.085,160.507,277.808,18,0,1,2,1,5,1,27,28,3,27,48,3,9.798040391921615
  Suutarilan peruspiiri     ,504,2714.38679245283,11509,8.27,10.85,3.59,6.994526023112346,19.966982361630027,32.06,18.26,31140.507502679528,47850,5399,21.259,34.397,137.189,6,0,0,1,1,3,1,4,16,0,6,2,0,7.858546168958743
  Puistolan peruspiiri      ,505,2685.638998682477,20384,8.83,11.63,3.51,6.142072213500785,20.746664050235477,33.69,15.45,34366.284808583274,50655,9601,50.261,56.993,180.636,9,1,0,2,1,2,0,8,20,1,7,14,1,8.76539673446004
  Jakomäen peruspiiri       ,506,2942.051282051282,5737,8.59,9.15,3.05,9.430015687641625,23.00854104932892,29.41,17.36,21355.58943781942,28457,3092,8.756,21.393,4.78,3,0,0,1,1,1,1,5,7,1,5,8,0,16.86478454680535
  Kulosaaren peruspiiri     ,601,1635.5102040816325,4007,7.06,10.56,2.85,6.763164462191165,22.261043174444723,31.1,19.42,57082.99063726971,54465,2180,28.342,28.39,1.455,2,2,0,0,0,0,0,3,6,2,1,6,1,7.005426739023187
  Herttoniemen peruspiiri   ,602,4125,28875,7.7,8.28,2.45,6.147186147186147,26.337662337662337,32.45,16.63,33683.97972304649,37613,16729,160.378,123.866,375.007,12,1,1,2,0,4,0,16,21,4,18,46,4,10.915651781686964
  Laajasalon peruspiiri     ,603,1265.3992395437263,19968,8.18,10.05,3.1,6.390224358974359,20.087139423076923,32.63,19.56,39023.301013210206,45884,10576,36.306,65.777,18.083,9,0,0,1,1,4,0,6,17,1,7,7,4,8.689610944848225
  Vartiokylän peruspiiri    ,701,3121.7821782178216,22071,7.04,9.26,3.23,6.7418784830773415,20.239227946173713,33.47,20.02,31423.580535152152,37045,12089,291.919,105.307,178.825,13,0,0,1,0,2,0,10,10,3,28,68,8,12.487411883182276
  Myllypuron peruspiiri     ,702,3570.1704545454545,12567,9.11,9.25,3.3,6.190817219702395,21.047187077265857,32.25,18.84,28421.022551928785,37945,6432,12.604,151.115,12.575,8,1,0,1,1,1,1,10,13,2,9,7,1,10.945529290853031
  Mellunkylän peruspiiri    ,703,3982.772680937818,39071,7.95,9.58,3.57,7.151083924138107,21.112845844744182,32.08,18.56,24112.820837689895,32473,20652,42.293,129.287,73.757,23,1,1,1,2,6,1,15,23,1,32,46,8,15.11290939909235
  Vuosaaren peruspiiri      ,704,2281.1475409836066,38962,7.83,10.1,3.1,6.57050459422001,20.4686617730096,33.41,18.52,28792.089737589315,36911,20889,89.361,140.55,248.601,25,1,0,1,1,4,1,20,17,5,23,47,5,13.079048023799405
Östersundomin peruspiiri,801,74.31192660550458,1944,5.61,14.35,6.84,7.304526748971194,9.722222222222223,44.8,11.37,60365.666871165646,98038,733,4.129,13.086,5.084,2,0,0,1,0,0,0,3,6,1,4,1,1,5.72232645403377
