,start_district,finish_district,count,total_distance,total_duration,day,time
104,000,104,64.0,433160.0,112243.0,6.0,day
105,000,104,32.0,215484.0,55959.0,6.0,evening
106,000,104,31.0,191012.0,49834.0,6.0,morning
107,000,104,10.0,66879.0,17247.0,6.0,night
108,000,105,465.0,2134479.0,590314.0,0.0,day
109,000,105,216.0,1021699.0,283439.0,0.0,evening
110,000,105,83.0,373429.0,103409.0,0.0,morning
111,000,105,116.0,551305.0,152179.0,0.0,night
112,000,105,617.0,2937227.0,811962.0,1.0,day
113,000,105,309.0,1455056.0,401415.0,1.0,evening
114,000,105,149.0,784702.0,215052.0,1.0,morning
115,000,105,21.0,96824.0,26838.0,1.0,night
116,000,105,698.0,3263917.0,901307.0,2.0,day
117,000,105,349.0,1692459.0,465661.0,2.0,evening
118,000,105,137.0,704878.0,193131.0,2.0,morning
119,000,105,24.0,119932.0,32486.0,2.0,night
120,000,105,742.0,3532583.0,975197.0,3.0,day
121,000,105,353.0,1684513.0,464593.0,3.0,evening
122,000,105,149.0,762871.0,209935.0,3.0,morning
123,000,105,39.0,173491.0,47659.0,3.0,night
124,000,105,600.0,2817122.0,778535.0,4.0,day
125,000,105,300.0,1457521.0,400982.0,4.0,evening
126,000,105,153.0,808550.0,220967.0,4.0,morning
127,000,105,31.0,135676.0,37406.0,4.0,night
128,000,105,499.0,2260089.0,626980.0,5.0,day
129,000,105,252.0,1174666.0,326482.0,5.0,evening
130,000,105,125.0,651441.0,177776.0,5.0,morning
131,000,105,29.0,151570.0,41284.0,5.0,night
132,000,105,527.0,2448055.0,677436.0,6.0,day
133,000,105,283.0,1283051.0,355629.0,6.0,evening
134,000,105,140.0,714560.0,196140.0,6.0,morning
135,000,105,64.0,282562.0,78640.0,6.0,night
136,000,201,234.0,1245109.0,315851.0,0.0,day
137,000,201,120.0,675095.0,172644.0,0.0,evening
138,000,201,50.0,287640.0,73586.0,0.0,morning
139,000,201,33.0,186323.0,48446.0,0.0,night
140,000,201,533.0,3015942.0,768838.0,1.0,day
141,000,201,217.0,1241701.0,315890.0,1.0,evening
142,000,201,241.0,1422959.0,364876.0,1.0,morning
143,000,201,16.0,89726.0,22903.0,1.0,night
144,000,201,554.0,3175255.0,812557.0,2.0,day
145,000,201,237.0,1341500.0,340986.0,2.0,evening
146,000,201,260.0,1516178.0,386723.0,2.0,morning
147,000,201,14.0,82481.0,21171.0,2.0,night
148,000,201,527.0,3050817.0,779926.0,3.0,day
149,000,201,248.0,1392607.0,353499.0,3.0,evening
150,000,201,239.0,1404416.0,359295.0,3.0,morning
151,000,201,17.0,94374.0,23902.0,3.0,night
152,000,201,481.0,2761675.0,706282.0,4.0,day
153,000,201,193.0,1085583.0,275578.0,4.0,evening
154,000,201,245.0,1425884.0,365311.0,4.0,morning
155,000,201,19.0,105015.0,26564.0,4.0,night
156,000,201,391.0,2208418.0,563882.0,5.0,day
157,000,201,197.0,1080720.0,274894.0,5.0,evening
158,000,201,183.0,1071462.0,274203.0,5.0,morning
159,000,201,14.0,79209.0,20372.0,5.0,night
160,000,201,233.0,1241976.0,316493.0,6.0,day
161,000,201,129.0,722826.0,184204.0,6.0,evening
162,000,201,70.0,404628.0,103004.0,6.0,morning
163,000,201,36.0,200355.0,51200.0,6.0,night
164,000,202,718.0,2528116.0,640515.0,0.0,day
165,000,202,439.0,1488876.0,377571.0,0.0,evening
166,000,202,127.0,510692.0,129648.0,0.0,morning
167,000,202,87.0,326192.0,81941.0,0.0,night
168,000,202,874.0,3231835.0,820555.0,1.0,day
169,000,202,560.0,1995727.0,506827.0,1.0,evening
170,000,202,147.0,577887.0,146077.0,1.0,morning
171,000,202,34.0,132699.0,33440.0,1.0,night
172,000,202,959.0,3431064.0,871247.0,2.0,day
173,000,202,602.0,2128063.0,538222.0,2.0,evening
174,000,202,166.0,701282.0,177321.0,2.0,morning
