name,id,major_id,pop_km2,total_pop,ages_0-6,ages_7-15,ages_16-18,ages_19-24,ages_25-39,ages_40-64,ages_65-,avg_pers_income,median_fam_income,people_on_social_assistance,unemployment,homes,carless_households,employment_km2,business_bldgs,public_bldgs,industrial_bldgs,floorarea_ha,floorarea_housing_house,floorarea_housing_condo,floorarea_business,floorarea_public,floorarea_industrial,floorarea_other,daycares,primary_schools,primary_school_pupils,middle_schools,middle_school_pupils,high_schools,high_school_students,special_schools,special_school_pupils,libraries,health_stations,playgrounds,swimming_halls,sports_halls,sports_fields,churches,post_offices,apothecaries,alkos,grocery_shops,other_retail,restaurants,cafes_bars,parks_ha,forest_ha,swim_beaches,voted_SDP,voted_KOK,voted_VIHR,voted_RKP,voted_VASL,voted_PS,voted_other
Vallilan peruspiiri,303,3,6313.584905660377,16731,6.66,4.71,1.16,9.6766481381866,39.29233160002391,26.94,11.55,31774.26074595546,37294,1230,7.6123595505617985,10563,67.8,9600,324.393,146.92,563.594,7021,0.20,37.57,17.43,7.90,36.74,0.15,5,1,454,0,0,1,801,0,0,1,0,1,1,10,7,2,1,1,1,13,40,48,4,36.2311,1.6762,0,10.85,14.30,35.37,3.70,19.91,5.07,10.80
Pasilan peruspiiri,304,3,2277.014218009479,9609,6.25,5.25,2,9.418253720470391,32.41752523675721,25.41,19.25,28550.987766850565,38801,1184,9.795081967213115,5522,64.2,6513,725.311,238.194,39.031,4161,0.08,25.03,41.30,13.56,17.92,2.11,8,1,231,0,0,0,0,0,0,1,0,2,0,3,11,1,1,2,2,11,13,26,3,15.3679,53.9611,0,16.60,20.10,27.07,3.60,14.99,6.39,11.25
Vanhankaupungin peruspiiri,305,3,4721.335807050093,25448,8.01,8.49,2.19,8.550770198050927,28.76846903489469,28.57,15.42,32587.759630780823,39772,1829,7.392651615759186,14086,57.0,2117,129.249,282.83,199.637,3180,7.31,53.15,7.54,16.50,15.25,0.24,18,4,1750,3,601,1,715,0,0,2,0,3,0,17,18,2,2,2,1,17,41,29,7,75.6687,99.2441,0,12.89,16.80,31.88,3.96,20.24,4.70,9.53
Maunulan peruspiiri,401,4,2274.55919395466,9030,7.1,8.43,2.12,5.780730897009967,22.44739756367663,31.92,22.21,29722.750516528926,32669,1065,11.46654651948637,5548,54.8,1151,59.315,70.217,59.522,1555,19.43,49.27,9.61,11.37,10.22,0.10,4,2,620,1,424,1,385,0,0,1,1,1,1,8,9,1,0,1,0,4,17,8,1,27.6101,153.5395,0,17.23,21.32,21.48,3.92,14.68,7.50,13.87
Länsi-Pakilan peruspiiri,402,4,2998.7124463519312,6987,7.74,12.12,4.14,4.966366108487191,13.553742664949192,35.71,21.77,49320.385328981276,82960,119,4.304245283018868,3128,20.2,483,18.047,30.778,0.836,1826,83.55,3.78,4.24,7.23,1.11,0.08,2,1,504,2,513,0,0,0,0,0,0,0,0,4,2,1,0,1,1,3,9,5,0,1.2761,19.4585,0,10.55,50.22,17.83,4.64,4.96,4.69,7.11
Tuomarinkylän peruspiiri,403,4,962.0421753607103,8668,9.11,13.82,4.12,4.464697738809414,14.420858329487771,36.31,17.75,47027.93185141854,82632,220,4.496487119437939,3525,17.9,92,6.34,29.932,1.691,494,86.97,3.78,1.42,6.72,1.10,0.00,7,2,770,0,0,0,0,0,0,1,1,2,0,4,10,0,1,0,0,5,12,3,0,249.7446,371.1842,0,12.72,43.39,19.13,3.15,6.58,6.32,8.71
Oulunkylän peruspiiri,404,4,3285.5203619909503,14522,7.8,9.59,2.58,6.16306293898912,24.39746591378598,30.37,19.1,35017.403207608,43626,1174,7.703604806408544,7935,47.5,1430,121.174,78.075,38.095,2098,25.96,47.70,13.07,8.42,4.69,0.17,9,1,719,1,513,1,369,0,0,1,1,1,0,8,8,2,2,1,2,6,24,14,0,24.6017,103.7590,1,15.56,28.64,23.95,3.83,10.97,6.73,10.32
Itä-Pakilan peruspiiri,405,4,1057.9250720461096,3671,8.2,13.38,4.9,4.358485426314355,14.76436938163988,37.05,17.35,43479.16181448883,77701,123,5.837424986361157,1594,21.8,278,7.053,20.88,26.39,714,71.60,4.51,2.85,8.43,12.53,0.08,2,1,357,0,0,0,0,2,153,0,0,1,0,4,6,0,1,0,0,3,10,5,0,101.8072,39.8936,1,11.25,45.38,17.63,5.04,5.55,6.47,8.68
Latokartanon peruspiiri,501,5,2600.20725388601,25092,9.13,9.93,2.45,8.086242627132153,27.387215048621073,28.91,14.1,28639.377753895755,37629,3311,9.556574923547402,13609,51.7,620,66.684,238.769,108.821,1564,7.59,60.23,4.42,15.82,11.51,0.44,18,4,1890,3,856,2,515,0,0,1,1,3,0,13,11,2,2,2,1,12,28,22,3,104.7373,163.0271,0,16.81,20.51,26.50,2.69,12.64,8.01,12.84
Pukinmäen peruspiiri,502,5,4265.174129353234,8573,8.33,7.06,2.48,7.756911232940627,25.8369298961857,28.11,20.42,27007.315181058497,35229,1329,11.357003891050583,4921,53.2,802,29.621,21.339,15.797,2269,12.87,70.51,6.50,4.68,5.45,0.00,5,1,587,1,363,0,0,1,160,1,0,1,0,2,11,0,1,1,0,6,9,5,0,40.6205,20.3146,0,21.63,20.86,19.55,2.82,12.18,9.89,13.07
