,start_district,finish_district,count,total_distance,total_duration
145,201,201,42281.0,46034266.0,13435040.0
146,201,202,16611.0,30199306.0,8049825.0
147,201,203,8948.0,22027015.0,6134061.0
148,201,204,3813.0,12672661.0,3559183.0
149,201,301,4745.0,19633157.0,5450138.0
150,201,302,5372.0,17450496.0,5060171.0
151,201,303,5899.0,18936423.0,5652360.0
152,201,304,8027.0,18058981.0,5805985.0
153,201,305,2744.0,12081399.0,3606995.0
154,201,401,369.0,1681254.0,485465.0
155,201,402,172.0,952332.0,258164.0
156,201,404,228.0,1419674.0,415772.0
157,201,501,99.0,740332.0,210530.0
158,201,601,114.0,753447.0,204711.0
159,201,602,58.0,501763.0,137363.0
160,201,603,5.0,56087.0,15639.0
161,201,701,3.0,36962.0,9939.0
162,202,000,10652.0,37869263.0,9892632.0
163,202,101,1910.0,10386864.0,2743866.0
164,202,102,798.0,5035895.0,1350438.0
165,202,103,5589.0,27990024.0,7626080.0
166,202,104,4995.0,17165853.0,4740405.0
167,202,105,1783.0,8222361.0,2338203.0
168,202,201,14363.0,25225175.0,7080357.0
169,202,202,29918.0,36613807.0,10107472.0
170,202,203,5957.0,12655745.0,3661678.0
171,202,204,4961.0,11639254.0,3330640.0
172,202,301,767.0,4331635.0,1229523.0
173,202,302,1006.0,4951520.0,1440708.0
174,202,303,1168.0,5930393.0,1744257.0
175,202,304,1518.0,5900907.0,1804009.0
176,202,305,457.0,2512341.0,754240.0
177,202,401,70.0,367915.0,106233.0
178,202,402,39.0,242439.0,66328.0
179,202,404,69.0,478515.0,143449.0
180,202,501,18.0,157997.0,44721.0
181,202,601,11.0,92843.0,25913.0
182,202,602,13.0,142553.0,39202.0
183,202,603,1.0,13421.0,3692.0
184,202,701,2.0,26182.0,7358.0
185,203,000,2252.0,11993168.0,3081662.0
186,203,101,1310.0,8228594.0,2103625.0
187,203,102,218.0,1607215.0,422086.0
188,203,103,1900.0,11275568.0,3000940.0
189,203,104,2731.0,12254731.0,3273898.0
190,203,105,82.0,645766.0,172004.0
191,203,201,7930.0,19040516.0,5137282.0
192,203,202,6346.0,13436939.0,3506783.0
193,203,203,19943.0,21676260.0,6515212.0
194,203,204,6024.0,11492235.0,3333217.0
195,203,301,732.0,4665836.0,1287318.0
196,203,302,777.0,4176379.0,1165308.0
197,203,303,1159.0,5842326.0,1683731.0
198,203,304,2107.0,7281957.0,2189037.0
199,203,305,1159.0,5240111.0,1549158.0
200,203,401,762.0,2135406.0,608482.0
201,203,402,327.0,1031883.0,283405.0
202,203,404,501.0,2425937.0,716247.0
203,203,501,107.0,833174.0,238170.0
204,203,601,40.0,336205.0,91689.0
205,203,602,4.0,47388.0,12835.0
206,203,603,1.0,13393.0,3744.0
207,203,701,1.0,12176.0,3458.0
208,203,702,2.0,25494.0,7238.0
209,204,000,4334.0,14461503.0,3696951.0
210,204,101,214.0,1609038.0,413696.0
211,204,102,37.0,329246.0,86035.0
212,204,103,470.0,3149134.0,822983.0
213,204,104,935.0,5180800.0,1372021.0
214,204,105,47.0,402050.0,106270.0
215,204,201,3385.0,11466500.0,2991660.0
216,204,202,4626.0,11275597.0,2843560.0
217,204,203,5274.0,10014261.0,2890237.0
218,204,204,7555.0,7617240.0,2133266.0
219,204,301,139.0,1051226.0,286815.0
220,204,302,227.0,1472014.0,408459.0
221,204,303,525.0,3376345.0,945033.0
222,204,304,832.0,3753302.0,1095871.0
223,204,305,410.0,2516780.0,734139.0
224,204,401,219.0,980790.0,271500.0
225,204,402,36.0,186632.0,50721.0
226,204,404,245.0,1511309.0,447980.0
227,204,501,12.0,116817.0,32777.0
228,204,602,2.0,22758.0,6136.0
229,204,701,22.0,331537.0,90886.0
230,301,000,153.0,1471150.0,388111.0
231,301,101,68929.0,127484211.0,35266343.0
232,301,102,21506.0,63980496.0,17869270.0
233,301,103,28016.0,85678639.0,25184251.0
234,301,104,14652.0,36529852.0,10850930.0
235,301,105,1380.0,8127022.0,2236119.0
236,301,201,5377.0,21810155.0,6271709.0
237,301,202,982.0,5534265.0,1518078.0
238,301,203,795.0,5007728.0,1408967.0
239,301,204,172.0,1278857.0,355927.0
240,301,301,77862.0,85167722.0,22827023.0
241,301,302,12636.0,17352649.0,5854379.0
242,301,303,26148.0,46641047.0,14156820.0
243,301,304,5486.0,17063005.0,5344624.0
244,301,305,18945.0,58026121.0,15340248.0
245,301,401,103.0,673224.0,197208.0
246,301,402,20.0,155352.0,45400.0
247,301,404,579.0,3446407.0,979958.0
248,301,501,1446.0,8399070.0,2205818.0
249,301,601,6103.0,13527844.0,3871394.0
250,301,602,5127.0,23253479.0,6275114.0
251,301,603,384.0,2540068.0,705969.0
252,301,701,267.0,2041251.0,528499.0
253,301,702,48.0,421732.0,114047.0
254,302,000,134.0,1132648.0,288788.0
255,302,101,12445.0,31847947.0,8636077.0
256,302,102,3391.0,12290931.0,3429452.0
257,302,103,15764.0,48126328.0,12962237.0
258,302,104,17317.0,32386041.0,8613350.0
259,302,105,565.0,3408522.0,892020.0
260,302,201,5534.0,17786555.0,4780536.0
261,302,202,1145.0,5531484.0,1431469.0
262,302,203,786.0,4286703.0,1153088.0
263,302,204,198.0,1293708.0,349056.0
264,302,301,15895.0,22977739.0,6069965.0
265,302,302,18140.0,13515036.0,4047807.0
266,302,303,20615.0,23013470.0,6777749.0
267,302,304,5778.0,11500917.0,3519349.0
268,302,305,7841.0,21874669.0,6016617.0
269,302,401,120.0,691864.0,196261.0
270,302,402,29.0,196685.0,56112.0
271,302,404,343.0,1899251.0,524751.0
272,302,501,451.0,2636859.0,727082.0
273,302,601,705.0,2293996.0,613536.0
274,302,602,691.0,3671325.0,977562.0
275,302,603,31.0,233557.0,64217.0
276,302,701,43.0,353534.0,91204.0
277,302,702,4.0,38564.0,10203.0
278,303,000,363.0,3159187.0,812425.0
279,303,101,13692.0,45194055.0,12076030.0
280,303,102,3810.0,15999252.0,4386316.0
281,303,103,11944.0,45577143.0,12531007.0
282,303,104,9905.0,22629688.0,6192782.0
283,303,105,475.0,3176614.0,840847.0
284,303,201,6189.0,19911271.0,5519029.0
285,303,202,1207.0,6110727.0,1604909.0
286,303,203,1295.0,6469204.0,1828341.0
287,303,204,472.0,3011501.0,860394.0
288,303,301,30583.0,53073386.0,13586457.0
289,303,302,21091.0,23194341.0,6946598.0
290,303,303,31039.0,27211589.0,7768346.0
291,303,304,16379.0,26666651.0,8550426.0
292,303,305,18354.0,37366790.0,10237904.0
293,303,401,307.0,1514136.0,443706.0
294,303,402,90.0,538093.0,157377.0
295,303,404,1162.0,5527405.0,1530459.0
296,303,501,1587.0,7651191.0,2087046.0
297,303,601,1272.0,4300842.0,1134668.0
298,303,602,1239.0,6646945.0,1761931.0
299,303,603,114.0,864034.0,234883.0
300,303,701,74.0,648577.0,166243.0
301,303,702,15.0,140377.0,37793.0
302,304,000,652.0,4895825.0,1274512.0
303,304,101,6132.0,24479962.0,6222674.0
304,304,102,1121.0,5815369.0,1508810.0
305,304,103,5908.0,24335491.0,6382702.0
306,304,104,7228.0,15767838.0,4204008.0
307,304,105,145.0,988174.0,258034.0
308,304,201,9316.0,20625704.0,5892367.0
309,304,202,1842.0,6978279.0,1896756.0
310,304,203,2239.0,7713475.0,2152772.0
311,304,204,754.0,3568833.0,996233.0
312,304,301,7067.0,21810633.0,5915754.0
313,304,302,7169.0,14469545.0,4363333.0
314,304,303,18504.0,30440042.0,8973323.0
315,304,304,15783.0,12772239.0,4550186.0
316,304,305,14653.0,31841719.0,9038079.0
317,304,401,543.0,2109068.0,637975.0
318,304,402,141.0,697455.0,208784.0
319,304,404,1079.0,4814267.0,1348016.0
320,304,501,751.0,4024841.0,1086772.0
321,304,601,244.0,1189641.0,319014.0
322,304,602,263.0,1761706.0,471505.0
323,304,603,7.0,62876.0,17067.0
324,304,701,17.0,184720.0,48012.0
325,304,702,3.0,30602.0,8451.0
326,305,000,90.0,832474.0,225631.0
327,305,101,6450.0,33283709.0,8771001.0
328,305,102,1202.0,7293294.0,1902675.0
329,305,103,3721.0,20437842.0,5719304.0
330,305,104,2881.0,11925877.0,3375691.0
331,305,105,26.0,222543.0,60241.0
332,305,201,2599.0,11606923.0,3366670.0
333,305,202,545.0,2979301.0,850981.0
334,305,203,1169.0,5118611.0,1502393.0
335,305,204,382.0,2385838.0,694632.0
336,305,301,18297.0,55772605.0,14268049.0
337,305,302,6624.0,18590189.0,5443541.0
338,305,303,15714.0,32003286.0,9263845.0
339,305,304,13031.0,27816704.0,8525108.0
340,305,305,47763.0,56191258.0,16211894.0
341,305,401,926.0,2547665.0,803379.0
342,305,402,225.0,853634.0,260575.0
343,305,404,6438.0,14032871.0,4165499.0
344,305,501,7143.0,25093720.0,6974731.0
345,305,601,480.0,2174935.0,568225.0
346,305,602,769.0,4698288.0,1274568.0
347,305,603,26.0,240408.0,65194.0
