base_to_comp_sun_morning,base_to_comp_sun_day,base_to_comp_sun_evening,base_to_comp_sun_night,base_to_comp_mon_morning,base_to_comp_mon_day,base_to_comp_mon_evening,base_to_comp_mon_night,base_to_comp_tue_morning,base_to_comp_tue_day,base_to_comp_tue_evening,base_to_comp_tue_night,base_to_comp_wed_morning,base_to_comp_wed_day,base_to_comp_wed_evening,base_to_comp_wed_night,base_to_comp_thu_morning,base_to_comp_thu_day,base_to_comp_thu_evening,base_to_comp_thu_night,base_to_comp_fri_morning,base_to_comp_fri_day,base_to_comp_fri_evening,base_to_comp_fri_night,base_to_comp_sat_morning,base_to_comp_sat_day,base_to_comp_sat_evening,base_to_comp_sat_night,comp_to_base_sun_morning,comp_to_base_sun_day,comp_to_base_sun_evening,comp_to_base_sun_night,comp_to_base_mon_morning,comp_to_base_mon_day,comp_to_base_mon_evening,comp_to_base_mon_night,comp_to_base_tue_morning,comp_to_base_tue_day,comp_to_base_tue_evening,comp_to_base_tue_night,comp_to_base_wed_morning,comp_to_base_wed_day,comp_to_base_wed_evening,comp_to_base_wed_night,comp_to_base_thu_morning,comp_to_base_thu_day,comp_to_base_thu_evening,comp_to_base_thu_night,comp_to_base_fri_morning,comp_to_base_fri_day,comp_to_base_fri_evening,comp_to_base_fri_night,comp_to_base_sat_morning,comp_to_base_sat_day,comp_to_base_sat_evening,comp_to_base_sat_night
1.0,0.0,6.0,4.0,2.0,5.0,5.0,0.0,0.0,8.0,4.0,2.0,0.0,5.0,1.0,0.0,2.0,1.0,5.0,2.0,0.0,4.0,5.0,2.0,0.0,4.0,0.0,3.0,1.0,3.0,4.0,0.0,6.0,1.0,2.0,1.0,9.0,1.0,2.0,1.0,8.0,3.0,2.0,0.0,8.0,0.0,1.0,0.0,11.0,3.0,2.0,0.0,0.0,9.0,1.0,0.0
7.0,20.0,22.0,35.0,6.0,44.0,33.0,5.0,13.0,42.0,38.0,4.0,10.0,33.0,53.0,3.0,12.0,27.0,36.0,7.0,7.0,21.0,19.0,7.0,18.0,16.0,17.0,16.0,10.0,26.0,19.0,7.0,12.0,24.0,13.0,1.0,11.0,23.0,18.0,1.0,17.0,29.0,23.0,0.0,8.0,28.0,11.0,2.0,8.0,14.0,22.0,1.0,10.0,33.0,9.0,2.0
3.0,11.0,5.0,6.0,5.0,17.0,9.0,0.0,1.0,11.0,12.0,1.0,3.0,12.0,9.0,2.0,2.0,9.0,8.0,0.0,2.0,11.0,11.0,3.0,5.0,5.0,11.0,9.0,1.0,11.0,8.0,0.0,10.0,9.0,3.0,1.0,3.0,14.0,7.0,4.0,6.0,18.0,0.0,0.0,7.0,8.0,3.0,0.0,2.0,7.0,0.0,3.0,5.0,12.0,6.0,1.0
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1539.0,4380.0,2064.0,746.0,5972.0,8915.0,3168.0,410.0,6520.0,8899.0,3157.0,339.0,6546.0,9185.0,3418.0,398.0,5994.0,8426.0,3386.0,421.0,5425.0,7825.0,3302.0,414.0,2452.0,4936.0,2707.0,752.0,947.0,4323.0,2925.0,1617.0,5984.0,8045.0,3954.0,395.0,6240.0,8312.0,4017.0,247.0,6068.0,8639.0,4291.0,320.0,5789.0,7733.0,4301.0,321.0,4695.0,6949.0,3920.0,379.0,1347.0,4829.0,3444.0,1086.0
1162.0,4323.0,2645.0,931.0,4660.0,4975.0,3184.0,248.0,4884.0,5373.0,3537.0,182.0,4996.0,5962.0,3905.0,256.0,4618.0,5524.0,3810.0,279.0,4153.0,4975.0,3521.0,246.0,1796.0,5152.0,3621.0,628.0,1071.0,3361.0,2385.0,1468.0,3364.0,4882.0,2926.0,359.0,3633.0,4956.0,3423.0,257.0,3563.0,5636.0,3954.0,421.0,3436.0,4865.0,3779.0,424.0,3072.0,4601.0,3244.0,427.0,1486.0,3861.0,3327.0,1003.0
3434.0,13158.0,8653.0,2674.0,11848.0,18276.0,10585.0,816.0,12942.0,18699.0,11400.0,636.0,12922.0,19595.0,12054.0,956.0,12370.0,18242.0,11557.0,895.0,11147.0,17039.0,10410.0,920.0,5239.0,13648.0,9167.0,2054.0,3434.0,13158.0,8653.0,2674.0,11848.0,18276.0,10585.0,816.0,12942.0,18699.0,11400.0,636.0,12922.0,19595.0,12054.0,956.0,12370.0,18242.0,11557.0,895.0,11147.0,17039.0,10410.0,920.0,5239.0,13648.0,9167.0,2054.0
635.0,2378.0,1691.0,719.0,965.0,3012.0,2290.0,194.0,1087.0,3106.0,2529.0,131.0,1122.0,3270.0,2580.0,222.0,1136.0,2997.0,2513.0,264.0,1039.0,2821.0,2101.0,239.0,937.0,2602.0,1783.0,551.0,764.0,2745.0,1542.0,371.0,1690.0,2606.0,1981.0,147.0,1977.0,2691.0,2140.0,138.0,1995.0,2947.0,2241.0,155.0,2010.0,2800.0,2223.0,163.0,1796.0,2597.0,1935.0,132.0,1216.0,3048.0,1673.0,330.0
350.0,1855.0,1210.0,961.0,672.0,2492.0,1809.0,211.0,681.0,2352.0,1971.0,95.0,725.0,2406.0,2042.0,187.0,691.0,2138.0,1899.0,254.0,581.0,2010.0,1464.0,257.0,472.0,1653.0,1254.0,711.0,678.0,1953.0,953.0,248.0,2016.0,1692.0,1159.0,116.0,2127.0,1674.0,1281.0,110.0,2133.0,1809.0,1314.0,123.0,2195.0,1670.0,1195.0,117.0,1839.0,1656.0,1068.0,113.0,989.0,2019.0,1099.0,184.0
259.0,1122.0,781.0,364.0,760.0,1380.0,1080.0,82.0,809.0,1272.0,1250.0,73.0,747.0,1474.0,1296.0,110.0,736.0,1285.0,1149.0,127.0,665.0,1106.0,761.0,131.0,324.0,953.0,738.0,244.0,367.0,1248.0,630.0,80.0,1221.0,1298.0,720.0,71.0,1319.0,1339.0,797.0,68.0,1334.0,1430.0,848.0,92.0,1291.0,1382.0,801.0,77.0,1070.0,1208.0,646.0,76.0,566.0,1216.0,620.0,81.0
75.0,310.0,227.0,165.0,88.0,438.0,372.0,48.0,99.0,435.0,407.0,29.0,89.0,497.0,414.0,38.0,84.0,374.0,419.0,57.0,84.0,367.0,263.0,60.0,81.0,305.0,226.0,110.0,103.0,360.0,174.0,37.0,293.0,307.0,212.0,10.0,309.0,331.0,223.0,11.0,302.0,352.0,200.0,8.0,281.0,298.0,210.0,4.0,260.0,303.0,168.0,7.0,181.0,442.0,176.0,27.0
10.0,78.0,83.0,28.0,10.0,162.0,129.0,24.0,18.0,134.0,121.0,11.0,10.0,117.0,160.0,13.0,12.0,122.0,135.0,20.0,10.0,98.0,110.0,26.0,20.0,67.0,62.0,24.0,44.0,119.0,45.0,14.0,123.0,87.0,51.0,3.0,150.0,100.0,50.0,4.0,144.0,95.0,74.0,3.0,145.0,89.0,50.0,3.0,118.0,92.0,55.0,4.0,64.0,113.0,51.0,10.0
1.0,9.0,15.0,6.0,10.0,26.0,28.0,0.0,11.0,31.0,23.0,1.0,13.0,26.0,44.0,4.0,12.0,30.0,24.0,6.0,11.0,14.0,19.0,2.0,6.0,7.0,15.0,3.0,11.0,12.0,10.0,1.0,21.0,58.0,8.0,1.0,26.0,51.0,10.0,0.0,23.0,45.0,21.0,0.0,23.0,41.0,18.0,0.0,19.0,26.0,3.0,0.0,6.0,21.0,14.0,1.0
257.0,1097.0,800.0,432.0,915.0,1769.0,1150.0,80.0,985.0,1939.0,1285.0,77.0,975.0,1937.0,1433.0,106.0,907.0,1709.0,1305.0,118.0,764.0,1610.0,1203.0,123.0,360.0,1338.0,1144.0,337.0,363.0,1004.0,788.0,929.0,1550.0,1394.0,1079.0,122.0,1634.0,1587.0,1206.0,92.0,1665.0,1580.0,1252.0,170.0,1591.0,1490.0,1241.0,198.0,1289.0,1289.0,980.0,205.0,575.0,1230.0,918.0,595.0
172.0,685.0,703.0,281.0,251.0,948.0,789.0,60.0,291.0,975.0,889.0,36.0,286.0,1046.0,856.0,76.0,294.0,980.0,821.0,69.0,200.0,829.0,757.0,89.0,198.0,807.0,664.0,204.0,203.0,762.0,632.0,340.0,600.0,868.0,724.0,106.0,633.0,968.0,830.0,88.0,713.0,933.0,775.0,80.0,656.0,844.0,731.0,125.0,604.0,738.0,688.0,128.0,334.0,746.0,651.0,264.0
75.0,397.0,301.0,132.0,568.0,646.0,397.0,27.0,606.0,645.0,468.0,29.0,582.0,621.0,484.0,25.0,556.0,549.0,471.0,28.0,367.0,487.0,340.0,41.0,108.0,321.0,306.0,129.0,206.0,447.0,262.0,139.0,756.0,746.0,391.0,44.0,778.0,834.0,399.0,29.0,857.0,822.0,408.0,58.0,793.0,798.0,403.0,55.0,679.0,617.0,328.0,53.0,246.0,404.0,297.0,95.0
51.0,157.0,124.0,58.0,242.0,270.0,198.0,10.0,287.0,314.0,207.0,12.0,259.0,292.0,208.0,22.0,268.0,290.0,155.0,28.0,177.0,214.0,138.0,34.0,58.0,154.0,94.0,59.0,60.0,221.0,110.0,11.0,274.0,471.0,193.0,6.0,350.0,552.0,203.0,6.0,335.0,518.0,216.0,8.0,325.0,478.0,204.0,10.0,271.0,372.0,170.0,12.0,135.0,240.0,132.0,25.0
35.0,140.0,116.0,54.0,110.0,285.0,167.0,16.0,109.0,338.0,187.0,10.0,111.0,308.0,172.0,13.0,104.0,278.0,154.0,10.0,80.0,235.0,95.0,19.0,49.0,106.0,106.0,37.0,64.0,164.0,76.0,32.0,249.0,219.0,143.0,7.0,282.0,186.0,121.0,12.0,279.0,228.0,144.0,10.0,270.0,218.0,139.0,6.0,217.0,151.0,113.0,7.0,97.0,171.0,99.0,17.0
0.0,4.0,1.0,0.0,0.0,11.0,10.0,0.0,2.0,14.0,6.0,0.0,1.0,16.0,11.0,2.0,3.0,12.0,11.0,0.0,1.0,12.0,8.0,0.0,1.0,4.0,6.0,4.0,2.0,11.0,4.0,0.0,6.0,7.0,7.0,0.0,8.0,5.0,3.0,0.0,7.0,6.0,4.0,0.0,10.0,7.0,6.0,0.0,13.0,3.0,0.0,1.0,7.0,12.0,3.0,0.0
1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
2.0,5.0,6.0,1.0,0.0,16.0,4.0,1.0,0.0,6.0,7.0,0.0,2.0,8.0,7.0,1.0,0.0,6.0,7.0,1.0,2.0,7.0,5.0,1.0,0.0,2.0,9.0,1.0,3.0,13.0,7.0,1.0,11.0,10.0,5.0,0.0,9.0,6.0,5.0,3.0,20.0,9.0,4.0,0.0,17.0,5.0,6.0,0.0,11.0,11.0,5.0,1.0,9.0,12.0,4.0,0.0
2.0,6.0,1.0,2.0,1.0,10.0,11.0,0.0,0.0,7.0,7.0,0.0,1.0,9.0,4.0,1.0,2.0,11.0,2.0,2.0,0.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,10.0,7.0,2.0,1.0,9.0,1.0,2.0,0.0,9.0,4.0,1.0,0.0,8.0,12.0,0.0,0.0,2.0,2.0,2.0,0.0
8.0,21.0,12.0,3.0,2.0,37.0,20.0,4.0,4.0,35.0,26.0,0.0,13.0,42.0,36.0,3.0,3.0,34.0,24.0,3.0,2.0,24.0,20.0,5.0,8.0,15.0,15.0,3.0,4.0,17.0,11.0,11.0,17.0,15.0,20.0,2.0,22.0,15.0,22.0,3.0,25.0,21.0,23.0,0.0,19.0,8.0,25.0,2.0,15.0,9.0,10.0,1.0,5.0,23.0,7.0,12.0
2.0,6.0,5.0,3.0,3.0,16.0,13.0,1.0,3.0,11.0,9.0,0.0,4.0,16.0,8.0,1.0,4.0,9.0,5.0,1.0,6.0,13.0,6.0,1.0,5.0,11.0,5.0,3.0,1.0,12.0,8.0,3.0,12.0,6.0,5.0,1.0,23.0,7.0,4.0,3.0,8.0,1.0,8.0,0.0,13.0,10.0,3.0,1.0,5.0,9.0,3.0,1.0,3.0,6.0,6.0,1.0
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
650.0,1932.0,692.0,158.0,1724.0,2077.0,988.0,127.0,1906.0,2149.0,1080.0,72.0,2073.0,2322.0,1137.0,77.0,2007.0,2287.0,1117.0,107.0,1798.0,2085.0,1103.0,94.0,1102.0,2167.0,941.0,147.0,241.0,1595.0,957.0,545.0,554.0,2717.0,1509.0,159.0,621.0,2697.0,1574.0,54.0,615.0,2826.0,1822.0,87.0,630.0,2562.0,1744.0,106.0,549.0,2348.0,1521.0,144.0,379.0,1840.0,1202.0,405.0
161.0,488.0,276.0,78.0,387.0,426.0,372.0,27.0,463.0,483.0,436.0,16.0,505.0,547.0,462.0,22.0,465.0,474.0,421.0,23.0,415.0,462.0,340.0,22.0,266.0,612.0,399.0,51.0,154.0,439.0,281.0,188.0,208.0,580.0,330.0,53.0,206.0,626.0,403.0,20.0,220.0,697.0,479.0,55.0,213.0,545.0,462.0,46.0,203.0,442.0,357.0,55.0,175.0,495.0,349.0,118.0
764.0,2745.0,1542.0,371.0,1690.0,2606.0,1981.0,147.0,1977.0,2691.0,2140.0,138.0,1995.0,2947.0,2241.0,155.0,2010.0,2800.0,2223.0,163.0,1796.0,2597.0,1935.0,132.0,1216.0,3048.0,1673.0,330.0,635.0,2378.0,1691.0,719.0,965.0,3012.0,2290.0,194.0,1087.0,3106.0,2529.0,131.0,1122.0,3270.0,2580.0,222.0,1136.0,2997.0,2513.0,264.0,1039.0,2821.0,2101.0,239.0,937.0,2602.0,1783.0,551.0
431.0,1453.0,1060.0,294.0,457.0,1317.0,1207.0,102.0,646.0,1505.0,1311.0,74.0,647.0,1589.0,1338.0,104.0,664.0,1490.0,1278.0,128.0,624.0,1446.0,1122.0,103.0,558.0,1462.0,1013.0,187.0,431.0,1453.0,1060.0,294.0,457.0,1317.0,1207.0,102.0,646.0,1505.0,1311.0,74.0,647.0,1589.0,1338.0,104.0,664.0,1490.0,1278.0,128.0,624.0,1446.0,1122.0,103.0,558.0,1462.0,1013.0,187.0
19.0,120.0,73.0,41.0,58.0,121.0,105.0,9.0,67.0,119.0,155.0,6.0,59.0,132.0,163.0,13.0,54.0,120.0,150.0,14.0,57.0,100.0,97.0,17.0,37.0,104.0,106.0,36.0,59.0,107.0,68.0,25.0,95.0,91.0,83.0,8.0,85.0,104.0,90.0,2.0,100.0,117.0,88.0,1.0,113.0,131.0,102.0,6.0,87.0,101.0,80.0,2.0,76.0,185.0,73.0,12.0
312.0,1173.0,772.0,268.0,534.0,1119.0,1087.0,102.0,598.0,1125.0,1111.0,43.0,623.0,1137.0,1159.0,79.0,613.0,1047.0,1036.0,101.0,567.0,997.0,769.0,95.0,389.0,1064.0,622.0,163.0,321.0,1223.0,660.0,81.0,599.0,1169.0,823.0,47.0,624.0,1285.0,833.0,40.0,639.0,1255.0,925.0,42.0,672.0,1285.0,832.0,48.0,598.0,1127.0,722.0,53.0,539.0,1206.0,594.0,53.0
65.0,376.0,230.0,102.0,89.0,348.0,356.0,19.0,97.0,333.0,383.0,12.0,131.0,365.0,372.0,34.0,115.0,350.0,362.0,40.0,84.0,303.0,261.0,39.0,83.0,293.0,228.0,69.0,122.0,435.0,153.0,25.0,182.0,298.0,216.0,7.0,205.0,364.0,187.0,3.0,224.0,303.0,198.0,6.0,231.0,308.0,188.0,11.0,163.0,294.0,156.0,5.0,176.0,367.0,148.0,20.0
29.0,171.0,131.0,24.0,42.0,163.0,175.0,25.0,49.0,172.0,195.0,6.0,51.0,155.0,189.0,15.0,25.0,159.0,200.0,14.0,32.0,130.0,117.0,17.0,33.0,150.0,149.0,26.0,59.0,221.0,91.0,12.0,120.0,153.0,107.0,9.0,121.0,153.0,132.0,9.0,106.0,157.0,125.0,14.0,123.0,151.0,101.0,11.0,135.0,149.0,74.0,7.0,98.0,203.0,75.0,15.0
4.0,31.0,31.0,4.0,39.0,30.0,22.0,4.0,56.0,44.0,43.0,0.0,40.0,33.0,40.0,3.0,31.0,45.0,38.0,5.0,41.0,30.0,28.0,6.0,3.0,23.0,25.0,5.0,12.0,56.0,17.0,3.0,32.0,110.0,15.0,3.0,33.0,106.0,33.0,0.0,29.0,87.0,23.0,1.0,49.0,90.0,21.0,1.0,34.0,70.0,18.0,2.0,22.0,50.0,14.0,4.0
164.0,642.0,552.0,155.0,534.0,690.0,573.0,55.0,635.0,728.0,719.0,48.0,617.0,716.0,672.0,75.0,593.0,711.0,752.0,76.0,490.0,713.0,674.0,64.0,289.0,844.0,669.0,157.0,209.0,598.0,544.0,484.0,462.0,950.0,574.0,113.0,480.0,973.0,691.0,77.0,555.0,955.0,713.0,111.0,473.0,974.0,718.0,102.0,453.0,736.0,629.0,104.0,355.0,688.0,562.0,369.0
203.0,811.0,670.0,248.0,291.0,744.0,788.0,61.0,338.0,826.0,1037.0,78.0,355.0,840.0,918.0,98.0,339.0,820.0,876.0,84.0,290.0,760.0,853.0,107.0,267.0,844.0,818.0,206.0,233.0,758.0,670.0,454.0,428.0,1005.0,889.0,123.0,479.0,1057.0,1003.0,103.0,545.0,1097.0,905.0,147.0,539.0,1051.0,993.0,131.0,484.0,922.0,858.0,154.0,328.0,823.0,778.0,360.0
78.0,397.0,338.0,146.0,621.0,446.0,382.0,33.0,699.0,461.0,458.0,31.0,719.0,474.0,461.0,51.0,694.0,453.0,395.0,35.0,551.0,427.0,370.0,63.0,134.0,368.0,299.0,114.0,183.0,401.0,305.0,158.0,381.0,666.0,407.0,51.0,420.0,714.0,433.0,43.0,427.0,724.0,464.0,70.0,438.0,664.0,405.0,51.0,380.0,661.0,360.0,55.0,229.0,417.0,277.0,121.0
84.0,210.0,182.0,77.0,305.0,357.0,279.0,23.0,333.0,358.0,282.0,26.0,341.0,383.0,310.0,35.0,325.0,354.0,275.0,23.0,315.0,318.0,192.0,37.0,125.0,235.0,216.0,50.0,125.0,319.0,181.0,39.0,304.0,518.0,272.0,13.0,305.0,592.0,287.0,7.0,299.0,617.0,267.0,16.0,341.0,624.0,293.0,16.0,253.0,568.0,219.0,21.0,185.0,331.0,187.0,29.0
34.0,128.0,98.0,46.0,98.0,179.0,135.0,21.0,114.0,194.0,191.0,11.0,131.0,185.0,174.0,13.0,131.0,170.0,168.0,13.0,110.0,148.0,115.0,20.0,62.0,150.0,108.0,39.0,55.0,141.0,89.0,38.0,108.0,177.0,107.0,13.0,140.0,196.0,122.0,9.0,134.0,207.0,114.0,14.0,129.0,211.0,109.0,10.0,111.0,172.0,97.0,13.0,74.0,173.0,86.0,32.0
0.0,13.0,19.0,6.0,0.0,31.0,19.0,0.0,3.0,26.0,23.0,0.0,1.0,21.0,18.0,0.0,0.0,21.0,25.0,2.0,1.0,14.0,23.0,1.0,3.0,16.0,11.0,4.0,12.0,17.0,9.0,0.0,22.0,17.0,4.0,0.0,25.0,19.0,7.0,1.0,24.0,21.0,10.0,0.0,16.0,12.0,5.0,0.0,19.0,15.0,9.0,0.0,19.0,22.0,4.0,1.0
0.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,10.0,1.0,0.0,5.0,5.0,0.0,0.0,4.0,5.0,0.0,1.0,6.0,2.0,0.0,3.0,6.0,2.0,4.0,3.0,1.0,7.0,1.0,3.0,6.0,4.0,0.0,1.0,6.0,5.0,0.0,2.0,7.0,1.0,1.0,1.0,7.0,2.0,0.0,2.0,7.0,4.0,1.0,3.0,6.0,10.0,0.0
1.0,16.0,14.0,4.0,0.0,20.0,20.0,2.0,0.0,19.0,22.0,0.0,0.0,25.0,23.0,2.0,0.0,13.0,24.0,2.0,0.0,15.0,14.0,2.0,3.0,14.0,7.0,2.0,4.0,30.0,8.0,2.0,11.0,11.0,5.0,0.0,15.0,16.0,22.0,0.0,12.0,12.0,10.0,0.0,10.0,14.0,7.0,2.0,13.0,10.0,4.0,0.0,8.0,20.0,16.0,0.0
3.0,5.0,4.0,1.0,4.0,13.0,5.0,2.0,0.0,9.0,5.0,2.0,4.0,4.0,5.0,2.0,6.0,3.0,6.0,2.0,2.0,0.0,6.0,1.0,4.0,9.0,4.0,0.0,5.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,2.0,5.0,0.0,1.0,4.0,10.0,5.0,2.0,1.0,7.0,4.0,0.0,4.0,14.0,3.0,3.0,13.0,11.0,2.0,3.0
5.0,20.0,15.0,2.0,0.0,13.0,18.0,0.0,6.0,13.0,20.0,2.0,2.0,24.0,19.0,2.0,6.0,20.0,15.0,1.0,3.0,17.0,8.0,2.0,8.0,17.0,9.0,5.0,7.0,10.0,11.0,6.0,10.0,7.0,12.0,1.0,9.0,14.0,10.0,0.0,10.0,22.0,9.0,0.0,15.0,16.0,5.0,1.0,14.0,12.0,5.0,0.0,5.0,8.0,8.0,0.0
4.0,14.0,8.0,0.0,6.0,15.0,16.0,1.0,8.0,14.0,19.0,0.0,4.0,11.0,14.0,0.0,7.0,13.0,10.0,1.0,10.0,18.0,8.0,2.0,2.0,10.0,4.0,4.0,8.0,8.0,4.0,1.0,11.0,18.0,3.0,0.0,14.0,11.0,3.0,0.0,11.0,16.0,5.0,0.0,10.0,15.0,10.0,3.0,16.0,15.0,5.0,2.0,9.0,4.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
138.0,343.0,128.0,83.0,661.0,409.0,146.0,49.0,701.0,391.0,154.0,27.0,690.0,407.0,185.0,35.0,681.0,396.0,153.0,31.0,599.0,341.0,202.0,29.0,247.0,407.0,156.0,65.0,41.0,293.0,214.0,214.0,105.0,758.0,347.0,44.0,119.0,683.0,396.0,20.0,111.0,625.0,428.0,33.0,109.0,613.0,404.0,31.0,89.0,529.0,333.0,69.0,48.0,306.0,214.0,153.0
132.0,329.0,196.0,53.0,404.0,259.0,171.0,30.0,404.0,301.0,224.0,11.0,453.0,362.0,264.0,17.0,450.0,286.0,219.0,15.0,364.0,288.0,206.0,19.0,234.0,440.0,258.0,38.0,56.0,275.0,205.0,241.0,127.0,409.0,308.0,25.0,136.0,412.0,347.0,29.0,133.0,415.0,423.0,40.0,113.0,403.0,359.0,58.0,94.0,323.0,272.0,71.0,82.0,278.0,298.0,164.0
678.0,1953.0,953.0,248.0,2016.0,1692.0,1159.0,116.0,2127.0,1674.0,1281.0,110.0,2133.0,1809.0,1314.0,123.0,2195.0,1670.0,1195.0,117.0,1839.0,1656.0,1068.0,113.0,989.0,2019.0,1099.0,184.0,350.0,1855.0,1210.0,961.0,672.0,2492.0,1809.0,211.0,681.0,2352.0,1971.0,95.0,725.0,2406.0,2042.0,187.0,691.0,2138.0,1899.0,254.0,581.0,2010.0,1464.0,257.0,472.0,1653.0,1254.0,711.0
59.0,107.0,68.0,25.0,95.0,91.0,83.0,8.0,85.0,104.0,90.0,2.0,100.0,117.0,88.0,1.0,113.0,131.0,102.0,6.0,87.0,101.0,80.0,2.0,76.0,185.0,73.0,12.0,19.0,120.0,73.0,41.0,58.0,121.0,105.0,9.0,67.0,119.0,155.0,6.0,59.0,132.0,163.0,13.0,54.0,120.0,150.0,14.0,57.0,100.0,97.0,17.0,37.0,104.0,106.0,36.0
933.0,3691.0,2642.0,399.0,3375.0,4418.0,3187.0,107.0,3589.0,4553.0,3404.0,92.0,3811.0,4712.0,3686.0,176.0,3856.0,4614.0,3454.0,140.0,3297.0,4297.0,2936.0,167.0,1484.0,3813.0,2789.0,370.0,933.0,3691.0,2642.0,399.0,3375.0,4418.0,3187.0,107.0,3589.0,4553.0,3404.0,92.0,3811.0,4712.0,3686.0,176.0,3856.0,4614.0,3454.0,140.0,3297.0,4297.0,2936.0,167.0,1484.0,3813.0,2789.0,370.0
